Date,Time,Temperature,Humidity
2023-01-30,06:57:30,23.8,61.7
2023-01-30,06:57:36,23.8,61.7
2023-01-30,06:57:41,23.8,61.7
2023-01-30,06:57:47,23.8,61.7
2023-01-30,06:57:52,23.8,61.7
2023-01-30,06:57:58,23.8,61.7
2023-01-30,06:58:03,23.8,61.7
2023-01-30,06:58:09,23.8,61.7
2023-01-30,06:58:14,23.8,61.7
2023-01-30,06:58:20,23.8,61.7
2023-01-30,06:58:25,23.8,61.7
2023-01-30,06:58:31,23.8,61.7
2023-01-30,06:58:36,23.8,61.7
2023-01-30,06:58:42,23.8,61.7
2023-01-30,06:58:47,23.8,61.7
2023-01-30,06:58:53,23.8,61.7
2023-01-30,06:58:59,23.8,61.7
2023-01-30,06:59:04,23.8,61.7
2023-01-30,06:59:10,23.8,61.7
2023-01-30,06:59:15,23.8,61.7
2023-01-30,06:59:21,23.8,61.7
2023-01-30,06:59:26,23.8,61.7
2023-01-30,06:59:32,23.8,61.7
2023-01-30,06:59:37,23.8,61.7
2023-01-30,06:59:43,23.8,61.7
2023-01-30,06:59:48,23.8,61.7
2023-01-30,06:59:54,23.8,61.8
2023-01-30,06:59:59,23.8,61.8
2023-01-30,07:00:05,23.8,61.8
2023-01-30,07:00:10,23.8,61.8
2023-01-30,07:00:16,23.8,61.7
2023-01-30,07:00:22,23.8,61.8
2023-01-30,07:00:27,23.8,61.8
2023-01-30,07:00:33,23.8,61.7
2023-01-30,07:00:38,23.8,61.7
2023-01-30,07:00:44,23.8,61.7
2023-01-30,07:00:49,23.8,61.7
2023-01-30,07:00:55,23.8,61.7
2023-01-30,07:01:00,23.8,61.7
2023-01-30,07:01:06,23.8,61.7
2023-01-30,07:01:11,23.9,61.7
2023-01-30,07:01:17,23.8,61.7
2023-01-30,07:01:22,23.8,61.7
2023-01-30,07:01:28,23.8,61.7
2023-01-30,07:01:33,23.8,61.7
2023-01-30,07:01:39,23.8,61.7
2023-01-30,07:01:45,23.8,61.7
2023-01-30,07:01:53,23.8,61.7
2023-01-30,07:01:58,23.8,61.7
2023-01-30,07:02:04,23.8,61.7
2023-01-30,07:02:09,23.8,61.7
2023-01-30,07:02:15,23.8,61.7
2023-01-30,07:02:20,23.8,61.7
2023-01-30,07:02:26,23.8,61.7
2023-01-30,07:02:31,23.8,61.7
2023-01-30,07:02:37,23.8,61.7
2023-01-30,07:02:42,23.8,61.7
2023-01-30,07:02:48,23.8,61.7
2023-01-30,07:02:53,23.8,61.7
2023-01-30,07:02:59,23.8,61.7
2023-01-30,07:03:05,23.8,61.7
2023-01-30,07:03:10,23.8,61.7
2023-01-30,07:03:16,23.8,61.7
2023-01-30,07:03:21,23.8,61.7
2023-01-30,07:03:27,23.8,61.7
2023-01-30,07:03:32,23.8,61.7
2023-01-30,07:03:38,23.8,61.8
2023-01-30,07:03:43,23.8,61.8
2023-01-30,07:03:49,23.8,61.8
2023-01-30,07:03:54,23.8,61.8
2023-01-30,07:04:00,23.8,61.8
2023-01-30,07:04:05,23.8,61.8
2023-01-30,07:04:11,23.8,61.8
2023-01-30,07:04:16,23.8,61.8
2023-01-30,07:04:22,23.8,61.8
2023-01-30,07:04:28,23.8,61.8
2023-01-30,07:04:33,23.8,61.8
2023-01-30,07:04:39,23.8,61.8
2023-01-30,07:04:44,23.8,61.8
2023-01-30,07:04:52,23.8,61.8
2023-01-30,07:05:00,23.8,61.8
2023-01-30,07:05:08,23.8,61.8
2023-01-30,07:05:14,23.8,61.8
2023-01-30,07:05:19,23.8,61.8
2023-01-30,07:05:25,23.8,61.8
2023-01-30,07:05:30,23.8,61.8
2023-01-30,07:05:36,23.8,61.8
2023-01-30,07:05:41,23.8,61.8
2023-01-30,07:05:47,23.8,61.8
2023-01-30,07:05:53,23.8,61.8
2023-01-30,07:06:06,23.8,61.8
2023-01-30,07:06:11,23.8,61.8
2023-01-30,07:06:17,23.8,61.7
2023-01-30,07:06:22,23.8,61.7
2023-01-30,07:06:28,23.8,61.7
2023-01-30,07:06:33,23.8,61.7
2023-01-30,07:06:39,23.8,61.8
2023-01-30,07:06:44,23.8,61.8
2023-01-30,07:06:50,23.8,61.8
2023-01-30,07:06:55,23.8,61.8
2023-01-30,07:07:01,23.8,61.8
2023-01-30,07:07:07,23.8,61.8
2023-01-30,07:07:12,23.8,61.8
2023-01-30,07:07:18,23.8,61.7
2023-01-30,07:07:26,23.8,61.8
2023-01-30,07:07:31,23.8,61.7
2023-01-30,07:07:37,23.8,61.8
2023-01-30,07:07:42,23.8,61.8
2023-01-30,07:07:48,23.8,61.8
2023-01-30,07:07:53,23.8,61.7
2023-01-30,07:07:59,23.8,61.7
2023-01-30,07:08:04,23.8,61.7
2023-01-30,07:08:10,23.8,61.7
2023-01-30,07:08:15,23.8,61.7
2023-01-30,07:08:21,23.8,61.7
2023-01-30,07:08:32,23.8,61.7
2023-01-30,07:08:37,23.8,61.7
2023-01-30,07:08:43,23.8,61.7
2023-01-30,07:08:48,23.8,61.7
2023-01-30,07:08:54,23.8,61.7
2023-01-30,07:08:59,23.8,61.7
2023-01-30,07:09:05,23.8,61.7
2023-01-30,07:09:10,23.8,61.7
2023-01-30,07:09:16,23.8,61.7
2023-01-30,07:09:21,23.8,61.7
2023-01-30,07:09:27,23.8,61.7
2023-01-30,07:09:33,23.8,61.7
2023-01-30,07:09:38,23.8,61.7
2023-01-30,07:09:44,23.8,61.7
2023-01-30,07:09:49,23.8,61.7
2023-01-30,07:09:55,23.8,61.8
2023-01-30,07:10:00,23.8,61.8
2023-01-30,07:10:06,23.8,61.8
2023-01-30,07:10:11,23.8,61.8
2023-01-30,07:10:17,23.8,61.7
2023-01-30,07:10:22,23.8,61.8
2023-01-30,07:10:28,23.8,61.7
2023-01-30,07:10:33,23.8,61.7
2023-01-30,07:10:39,23.8,61.7
2023-01-30,07:10:47,23.8,61.7
2023-01-30,07:10:53,23.8,61.7
2023-01-30,07:10:58,23.8,61.8
2023-01-30,07:11:04,23.8,61.7
2023-01-30,07:11:09,23.8,61.7
2023-01-30,07:11:15,23.8,61.8
2023-01-30,07:11:20,23.8,61.7
2023-01-30,07:11:26,23.8,61.7
2023-01-30,07:11:31,23.8,61.8
2023-01-30,07:11:37,23.8,61.8
2023-01-30,07:11:42,23.8,61.8
2023-01-30,07:11:48,23.8,61.8
2023-01-30,07:11:53,23.8,61.8
2023-01-30,07:12:01,23.8,61.8
2023-01-30,07:12:07,23.8,61.8
2023-01-30,07:12:13,23.8,61.8
2023-01-30,07:12:18,23.8,61.8
2023-01-30,07:12:24,23.8,61.8
2023-01-30,07:12:29,23.8,61.8
2023-01-30,07:12:37,23.8,61.8
2023-01-30,07:12:43,23.8,61.8
2023-01-30,07:12:51,23.8,61.8
2023-01-30,07:12:56,23.8,61.8
2023-01-30,07:13:02,23.8,61.8
2023-01-30,07:13:07,23.8,61.8
2023-01-30,07:13:13,23.8,61.8
2023-01-30,07:13:18,23.8,61.8
2023-01-30,07:13:24,23.8,61.8
2023-01-30,07:13:29,23.8,61.8
2023-01-30,07:13:35,23.8,61.8
2023-01-30,07:13:41,23.8,61.8
2023-01-30,07:13:46,23.8,61.8
2023-01-30,07:13:52,23.8,61.8
2023-01-30,07:13:57,23.8,61.8
2023-01-30,07:14:03,23.8,61.8
2023-01-30,07:14:11,23.8,61.8
2023-01-30,07:14:16,23.8,61.8
